x,y,y_predicted,residual,standardized_residual,studentized_residual,R_studentized_residual
2205,10,6.297904773818816,3.702095226181184,1.5471334953546132,1.5775645840871875,1.6267429124675512
2096,11,7.063640703903522,3.9363592960964784,1.645034215671284,1.6752689967987526,1.7392886216270946
1847,11,8.81289067262913,2.1871093273708695,0.9140094707581048,0.9401831745988167,0.9380084728509421
1903,13,8.419485057172768,4.580514942827232,1.9142317150308503,1.9614891184359053,2.08374198554181
1457,10,11.552679780271651,-1.5526797802716512,-0.6488765817339747,-0.7054382833335069,-0.6984557064503137
1848,11,8.805865572353124,2.194134427646876,0.9169453131071538,0.9431304601430716,0.9410529335133613
1564,10,10.800994050738959,-0.800994050738959,-0.3347414503857406,-0.35650554630582587,-0.35044002952299835
1821,11,8.995543279805299,2.0044567201947014,0.837677569682833,0.8634851372537495,0.8591250855289773
2577,4,3.684567471144412,0.31543252885558815,0.1318216310227907,0.13865311069001832,0.13601085422415457
2476,2,4.394102599021064,-2.394102599021064,-1.0005135189571555,-1.0390531802457486,-1.0407119715640067
1984,7,7.850451934816245,-0.8504519348162454,-0.35541027287420635,-0.3627624715197324,-0.35662151784248836
1917,10,8.321133653308678,1.678866346691322,0.7016108988285258,0.7183464271568428,0.7114924994982875
1761,9,9.417049296365686,-0.4170492963656862,-0.17428804398610784,-0.1806792140300281,-0.17728187617639618
1709,9,9.782354510718022,-0.7823545107180223,-0.32695184613665135,-0.34092763860235054,-0.335056820197949
1901,6,8.433535257724781,-2.433535257724781,-1.016992724208269,-1.042225877418421,-1.0440280634702594
2288,5,5.714821450910279,-0.7148214509102786,-0.29872927148934186,-0.30560324301339353,-0.3002083014491517
2072,5,7.232243110527676,-2.2322431105276763,-0.9328712188839079,-0.9501882076228217,-0.9483474995211206
2861,5,1.689438992758575,3.310561007241425,1.3835083945156859,1.5390832798475214,1.5830295740107079
2411,6,4.850734116961483,1.1492658830385167,0.4802868738066777,0.4955883197338735,0.48827604012581827
2289,4,5.707796350634272,-1.707796350634272,-0.7137009655032959,-0.7301614982648992,-0.7234377996120611
2203,3,6.311954974370829,-3.3119549743708294,-1.3840909438845062,-1.4112387692465618,-1.440087390139646
2592,3,3.5791909670043154,-0.5791909670043154,-0.24204827010447882,-0.2551492981250664,-0.2505082904418829
2053,4,7.3657200157717995,-3.3657200157717995,-1.4065597598788404,-1.433042874815204,-1.4642295926521476
1979,10,7.885577436196277,2.114422563803723,0.8836331244695586,0.9020799384621265,0.8987383184257332
2048,6,7.400845517151831,-1.400845517151831,-0.5854238988980787,-0.5964976000498455,-0.5889578393293362
1786,8,9.241421789465525,-1.2414217894655248,-0.5187995216228881,-0.5364810263741245,-0.5289990022985701
2876,2,1.5840624886184784,0.4159375113815216,0.17382342066241022,0.19412858002196973,0.19049684281020793
2560,0,3.8039941758365217,-3.8039941758365217,-1.589717834363053,-1.668122598257597,-1.7309777560722814
